exp,cpg,beta,p
26w MCNP,cg25109009,0.24239502,6.48901E-06
26w MCNP,cg12623375,0.161152304,6.79155E-06
26w ?DEHP,cg18273501,0.156920812,6.81917E-06
26w MECPP,cg04685459,0.114133291,7.02625E-06
Avg ?LMW,cg18049099,-0.135727345,7.05768E-06
26w MCNP,cg24375476,0.201895018,7.13613E-06
Avg MBP,cg04307831,0.834985656,7.13971E-06
26w MCNP,cg04544093,0.202478071,7.16795E-06
Avg MEOHP,cg22684507,-0.277559451,7.29858E-06
26w MCNP,cg24543400,0.191518617,7.45319E-06
26w MEHP,cg21417675,0.139331393,7.50911E-06
26w MEHHP,cg18273501,0.135748242,7.51262E-06
26w MEP,cg18099632,-0.208938002,7.54113E-06
26w MEHHP,cg13979305,0.210747143,7.58149E-06
26w MCNP,cg00662232,0.205589179,7.59482E-06
13w MCPP,cg22167789,0.122577899,7.67683E-06
26w MCNP,cg04489786,0.191684041,7.84589E-06
26w MCNP,cg26976687,0.192788235,8.13548E-06
26w MEP,cg00562088,-0.107774178,8.18334E-06
26w MCNP,cg07923459,0.134662112,8.27124E-06
26w MCNP,cg12108273,0.135792641,8.2993E-06
26w MCNP,cg04283868,0.289941607,8.30807E-06
13w MCPP,cg24999111,0.160784747,8.37691E-06
13w ?DEHP,cg19919720,-0.182374382,8.37888E-06
Avg MEP,cg05048917,-0.125928462,8.71619E-06
13w MCPP,cg09561365,-0.231745152,8.83586E-06
26w MEOHP,cg05578989,0.201319961,8.84107E-06
Avg MEP,cg10781408,0.287830527,8.88332E-06
26w MECPP,cg08697116,0.306391202,8.88355E-06
Avg ?DEHP,cg13500195,0.284568187,8.88805E-06
13w MCNP,cg07807409,-0.765818136,8.93976E-06
Avg ?LMW,cg25266603,-0.171393238,8.96174E-06
26w MCNP,cg00059424,0.198811491,9.03994E-06
26w MCNP,cg07882850,-0.293155809,9.08087E-06
Avg ?LMW,cg05265234,-0.200947271,9.22197E-06
Avg MEOHP,cg26085197,0.131503915,9.33916E-06
26w MECPP,cg09217898,0.205292402,9.45354E-06
26w MCNP,cg10630028,0.16704378,9.487E-06
Avg ?HMW,cg13500195,0.305501185,9.56553E-06
26W ?LMW,cg00562088,-0.122710945,9.5824E-06
26w MEHHP,cg07954885,0.145989395,9.64053E-06
13w MBP,cg11035992,-0.250544665,9.67549E-06
26w MiBP,cg26666292,-0.383474362,9.74178E-06
26w MCNP,cg16662139,0.239555207,9.789E-06
Avg MECPP,cg11795222,0.175006719,9.89907E-06
26w MCNP,cg11178189,0.222854581,1.01277E-05
26w MCNP,cg09231412,0.130401411,1.03567E-05
26w ?DEHP,cg20516151,0.134026854,1.05824E-05
Avg MEP,cg16702014,-0.182693325,1.06624E-05
26w MCNP,cg05509327,0.163489697,1.07375E-05
26w ?HMW,cg08678044,0.211421558,1.0738E-05
26w MCNP,cg18923803,0.135966124,1.08223E-05
26w MCNP,cg12038696,0.196460753,1.10599E-05
Avg MBP,cg08661874,-0.336123392,1.11742E-05
26w MCNP,cg13547419,0.182638755,1.12347E-05
26w MCNP,cg12985164,0.196498548,1.13104E-05
26w MCNP,cg26221423,0.162984117,1.14301E-05
26w MCNP,cg13848377,0.158513531,1.152E-05
Avg MBP,cg23365599,-0.382877501,1.15291E-05
Avg MBzP,cg11129772,-0.230887649,1.15342E-05
13w MECPP,cg19919720,-0.189618468,1.172E-05
Avg MCNP,cg14795227,-0.85630373,1.18416E-05
26w ?DEHP,cg09809806,0.145680556,1.18848E-05
13w MBP,cg06225476,-0.194844145,1.18892E-05
Avg MEP,cg21436444,-0.128316828,1.19683E-05
26w MCNP,cg16257983,0.15308066,1.19745E-05
26w MECPP,cg01033191,0.257016754,1.2054E-05
26w MCNP,cg07456485,0.225462992,1.2097E-05
26w MCNP,cg06119461,0.136167211,1.22485E-05
26w ?HMW,cg18273501,0.167371791,1.22848E-05
26w MEHHP,cg23025395,0.133138691,1.23147E-05
26w MCNP,cg20279895,0.263945738,1.23448E-05
26w MCNP,cg02727605,0.255677886,1.23668E-05
26w MCNP,cg19659987,0.136840511,1.24132E-05
Avg ?DEHP,cg14125468,0.196980902,1.24832E-05
26w MCNP,cg24317002,0.347549766,1.25568E-05
26w MCNP,cg01318291,0.158393105,1.27089E-05
26w MCNP,cg26549174,0.180469748,1.27612E-05
26w MEHHP,cg14064488,0.193300905,1.28665E-05
26w MEOHP,cg07777008,0.23949703,1.30189E-05
26w MEOHP,cg08367083,0.383951458,1.3077E-05
26w MCNP,cg17628040,0.146732664,1.31271E-05
26w MCNP,cg04197135,0.179335907,1.31788E-05
Avg MBP,cg19167227,-0.296949923,1.32267E-05
26w MCNP,cg21487067,0.1251379,1.32394E-05
26w MCNP,cg25446808,0.229762301,1.32621E-05
26w MCNP,cg22468123,0.170402496,1.33927E-05
Avg MEP,cg07780534,-0.103079051,1.34098E-05
Avg ?HMW,cg14125468,0.211380274,1.35212E-05
13w MEP,cg14981312,0.186258859,1.35312E-05
26w MCNP,cg23733753,0.142310108,1.35746E-05
26w MCNP,cg15994159,0.136528143,1.3614E-05
Avg MBP,cg11035992,-0.321721654,1.36519E-05
26w MEHHP,cg04340095,0.175053774,1.37304E-05
26w MEP,cg06920390,0.130261881,1.38576E-05
26w MCNP,cg18238858,0.150238818,1.38687E-05
13w MEHHP,cg19919720,-0.162047393,1.3949E-05
Avg ?HMW,cg22684507,-0.342634893,1.42694E-05
26w MCNP,cg07749194,0.138710141,1.43259E-05
26w MCNP,cg17020582,0.181779833,1.4539E-05
26w MiBP,cg11520003,-0.298688211,1.45742E-05
26w MECPP,cg20516151,0.140521646,1.46125E-05
26w MCNP,cg13580654,0.148436441,1.46279E-05
26W ?LMW,cg01806427,-0.200648742,1.46384E-05
26w MCNP,cg21626253,0.20724215,1.46451E-05
Avg MEOHP,cg05149386,0.295710002,1.4679E-05
13w MCPP,cg17940251,0.349423181,1.47333E-05
26w MECPP,cg06685282,0.260257105,1.47979E-05
26w MEHHP,cg13993853,0.08574149,1.50545E-05
13w MCPP,cg20034712,-0.247883808,1.51027E-05
26w MCNP,cg14896695,0.148745149,1.52847E-05
26w MECPP,cg27026926,0.160479796,1.56665E-05
13w MCPP,cg05934333,-0.164854288,1.56665E-05
Avg ?HMW,cg07006526,0.665078899,1.58177E-05
Avg MEP,cg07165529,-0.176251601,1.58193E-05
26w ?DEHP,cg04685459,0.103036201,1.596E-05
26w MCNP,cg00547730,0.167156704,1.59701E-05
26w MCNP,cg15896084,0.202636482,1.61929E-05
13w ?LMW,cg21436444,-0.112339643,1.62628E-05
26w MEHHP,cg06721300,0.11968323,1.63651E-05
26w MEHHP,cg04855141,0.151518964,1.64012E-05
26w ?HMW,cg04685459,0.112901473,1.65199E-05
13w MiBP,cg07630544,-0.29319458,1.67319E-05
26w MCNP,cg23843629,0.139737367,1.68175E-05
26w MECPP,cg09809806,0.152559238,1.68283E-05
Avg MBzP,cg16317459,0.505294515,1.70903E-05
26w MCNP,cg10361950,0.141745119,1.70912E-05
13w MBP,cg13831388,-0.198030335,1.71243E-05
Avg MEHP,cg08361399,0.23208889,1.71419E-05
26w MCNP,cg22623080,0.146245086,1.71611E-05
26w MEOHP,cg01944038,0.12005087,1.72893E-05
26w MEHHP,cg00887700,0.126797871,1.72915E-05
Avg MCNP,cg20668812,-0.293461617,1.75333E-05
Avg ?LMW,cg03768001,0.321886399,1.75853E-05
26w MCNP,cg04251662,0.189835312,1.76692E-05
26w MCNP,cg11053574,0.20407459,1.78572E-05
Avg MEOHP,cg01708493,0.542768093,1.80235E-05
26w MECPP,cg06836772,0.132244264,1.81198E-05
13w MCPP,cg18712348,-0.185495921,1.82006E-05
26w MCNP,cg18664712,0.188253962,1.82563E-05
26w MECPP,cg22691333,0.152995592,1.83344E-05
26w MCNP,cg19103969,0.152076533,1.83574E-05
26w MEHHP,cg26937061,0.162267273,1.83866E-05
26w MEHHP,ch.11.691621F,0.227264803,1.84584E-05
26w MCNP,cg24851862,0.140492256,1.847E-05
26w MCNP,cg13530158,0.170788586,1.85713E-05
26w MECPP,cg02836586,0.12894127,1.86322E-05
26w MEHHP,cg11332336,0.132973878,1.86805E-05
13w MCNP,cg23751724,0.142614653,1.8758E-05
26w MEHHP,cg04685459,0.088987894,1.87988E-05
13w MBP,cg07703701,-0.24471549,1.89137E-05
Avg ?LMW,cg00562088,-0.136077813,1.89832E-05
26w MCNP,cg11450750,0.148106819,1.91662E-05
Avg MCNP,cg10390979,-0.192846221,1.91806E-05
26w MCNP,cg04955303,0.157881057,1.91969E-05
26w MCNP,cg10948777,0.171255564,1.93919E-05
Avg MEP,cg05265234,-0.167683802,1.95483E-05
26w MCNP,cg19517525,0.217081622,1.95909E-05
26w MCNP,cg10324902,0.173252504,1.96206E-05
26w MCNP,cg25264265,0.188768444,1.96829E-05
26w MCNP,cg22543924,2.044710341,1.9683E-05
26w MEOHP,cg20516151,0.111915851,1.97559E-05
26w MCNP,cg26549326,0.142214404,1.98223E-05
26w MCNP,cg22601577,0.221021955,1.99235E-05
26w MEOHP,cg09809806,0.122234714,2.00092E-05
26w MEHHP,cg24252723,0.126315184,2.00907E-05
13w MEP,cg07631828,0.154258521,2.01622E-05
26w MCNP,cg14470448,0.151508475,2.02302E-05
26w MCNP,cg03016097,0.139243518,2.03779E-05
26w MECPP,cg08678044,0.198807931,2.03795E-05
26w MCNP,cg09952204,0.141887525,2.03847E-05
26w MEHHP,cg13709054,0.074907345,2.04082E-05
26w ?DEHP,cg02836586,0.120480487,2.04374E-05
26W ?LMW,cg13809815,-0.545319267,2.05454E-05
26w MEOHP,cg26085197,0.10569633,2.05795E-05
13w MBP,cg27364012,-0.254120721,2.05835E-05
26w MCNP,cg24453429,0.170797031,2.08036E-05
26w MEHHP,cg21417675,0.167894916,2.10215E-05
Avg MEP,cg15713389,-0.141657209,2.10501E-05
26w MCNP,cg08983960,0.226072767,2.11273E-05
26w MCNP,cg12004730,0.173496741,2.12614E-05
13w MCNP,cg05872614,0.155122301,2.12829E-05
26w MCNP,cg27563668,0.138140755,2.14499E-05
26w MCNP,cg17724054,0.173847757,2.14738E-05
26w MCNP,cg23387109,0.147946156,2.14932E-05
26w MCNP,cg00887700,0.168230228,2.15089E-05
26W ?LMW,cg18099632,-0.227678143,2.16003E-05
26w MEP,cg13809815,-0.481066748,2.17556E-05
26w MCNP,cg18145505,0.191819431,2.18757E-05
Avg ?LMW,cg01144768,-0.179124089,2.19414E-05
Avg MBzP,cg19969778,1.756028104,2.19919E-05
13w MEP,cg21436444,-0.101129287,2.25408E-05
Avg MEP,cg08854306,0.43451237,2.26876E-05
26w MEOHP,cg24252723,0.124110598,2.2718E-05
26w MCNP,cg12421458,0.159191946,2.272E-05
13w MCPP,cg15824312,-0.18741187,2.28331E-05
26w MEHHP,cg03533123,0.187617302,2.29092E-05
13w MCNP,cg07640473,0.174665318,2.31032E-05
26w MCNP,cg10426652,0.17039568,2.31334E-05
Avg MEP,cg14331404,0.309864998,2.31786E-05
26w MCPP,cg17317180,0.316781542,2.33567E-05
26w MCNP,cg04960271,0.151099712,2.34071E-05
13w MCPP,cg26646527,-0.171383486,2.34855E-05
26w MCNP,cg23548487,0.179202675,2.36381E-05
26w ?DEHP,cg09217898,0.184098748,2.36471E-05
26w MCNP,cg01900048,0.170855269,2.39032E-05
26w MCNP,cg11863397,0.169904742,2.39966E-05
Avg ?DEHP,cg24334591,0.236213232,2.4073E-05
Avg ?LMW,cg27480589,0.324182576,2.41244E-05
26w MCNP,cg12054080,0.153097142,2.41474E-05
26w MCNP,cg03394237,0.150709613,2.42228E-05
26w MEP,cg13868565,0.244125521,2.42665E-05
26w MCNP,cg22725460,0.15009805,2.4415E-05
13w MCPP,cg08628777,-0.12279074,2.45268E-05
26w MCNP,cg23175281,0.148213375,2.46364E-05
26w MCNP,cg08307039,0.196130246,2.47124E-05
26w MCNP,cg04011030,0.152865051,2.48489E-05
26w MCNP,cg06317622,0.14999912,2.49162E-05
Avg MEHP,cg06835628,0.289081869,2.49993E-05
26w MEOHP,cg23025395,0.127022305,2.51017E-05
26w MCNP,cg00482488,0.214913259,2.52586E-05
Avg MECPP,cg24334591,0.247041323,2.53476E-05
Avg ?DEHP,cg16582062,1.760834176,2.54457E-05
26w MCNP,cg00369640,0.188465138,2.55528E-05
26w MCNP,cg11407345,0.170607266,2.57084E-05
26w MCNP,cg24638647,0.125775727,2.58394E-05
26w MCNP,cg16107628,0.319777544,2.58478E-05
26w ?DEHP,cg00887700,0.14262768,2.59494E-05
26w MEHHP,cg00977403,0.308099733,2.60338E-05
26w MEOHP,cg04855141,0.146322381,2.60441E-05
26w MEHHP,cg05578989,0.193051591,2.62792E-05
13w MCPP,cg16923991,-0.156012054,2.63248E-05
26w MCNP,cg04600406,0.13967102,2.63669E-05
Avg MECPP,cg17313483,0.333943581,2.64138E-05
26w MECPP,cg00267713,0.135220656,2.65105E-05
26w ?HMW,cg02836586,0.130457555,2.65935E-05
26w MBP,cg10618979,-0.255391273,2.66274E-05
Avg ?LMW,cg08854306,0.499945217,2.66582E-05
13w MCNP,cg19007101,0.135409281,2.69633E-05
26w MCNP,cg23435821,0.16993574,2.69921E-05
Avg MEP,cg18049099,-0.10995565,2.69955E-05
13w MBP,cg24849517,-0.162302392,2.70201E-05
26w MECPP,cg05149386,0.294698469,2.70678E-05
Avg MBzP,cg18252515,-0.626847384,2.71958E-05
Avg ?HMW,cg04800585,0.172833572,2.73364E-05
26w MCNP,cg06408550,0.137183502,2.73618E-05
Avg ?LMW,cg26267259,-0.174333366,2.74428E-05
Avg MEP,cg03762802,-0.141661495,2.75502E-05
26w ?HMW,cg08697116,0.298457059,2.75878E-05
13w MBP,cg02118458,-0.132642807,2.75947E-05
13w MCPP,cg20936172,-0.120229676,2.77216E-05
26w MCNP,cg10915772,0.266819267,2.77369E-05
Avg MBP,cg15093769,-0.350984561,2.78633E-05
26w MEOHP,cg13411038,0.287205941,2.79488E-05
26w MECPP,cg18052443,0.158077054,2.79592E-05
26w MCNP,cg20776722,0.187311359,2.80465E-05
Avg MECPP,cg16582062,1.836535431,2.80704E-05
Avg MEOHP,cg24042517,0.179536881,2.81468E-05
26w MCNP,cg13126279,-0.552444371,2.82745E-05
26w MCNP,cg01247273,0.151817047,2.83003E-05
26w MCNP,cg23521281,0.17449243,2.84102E-05
Avg MEHHP,cg17313483,0.281924234,2.85597E-05
26w MCNP,cg21789870,0.149636108,2.87031E-05
Avg MEHP,cg16582062,1.232957719,2.88388E-05
26w MEOHP,cg15571730,0.482636133,2.88713E-05
26w MCNP,cg17791766,0.226102072,2.89174E-05
Avg ?LMW,cg10781408,0.312970961,2.91313E-05
Avg MCNP,cg06942978,-0.27627383,2.91653E-05
Avg MEP,cg04022912,-0.14390023,2.93421E-05
26w MCNP,cg27134342,0.142656143,2.96634E-05
26w MCNP,cg00508499,0.168769967,2.96817E-05
26w MiBP,cg11462099,-0.332658926,2.97009E-05
Avg MCPP,cg05450995,0.416068984,2.97819E-05
26w MEHHP,cg02836586,0.10287497,2.98047E-05
26w MCNP,cg04864199,0.205338684,2.98118E-05
Avg MCPP,cg10359944,-0.145045275,2.99982E-05
26w MEP,cg21955549,-0.149532152,3.00388E-05
26w MCNP,cg01249550,0.128718198,3.02328E-05
26w MEP,cg15278262,-0.099912183,3.02693E-05
26w MCNP,ch.2.51292200F,-0.307890242,3.03077E-05
26w MEP,cg26809926,-0.143532463,3.04279E-05
Avg ?DEHP,cg11795222,0.157704848,3.05751E-05
13w MCPP,cg07124480,-0.170405313,3.07207E-05
26w MCNP,cg24321347,0.128362701,3.08603E-05
Avg MBzP,cg10187221,-0.536708333,3.10554E-05
26W ?LMW,cg21955549,-0.171158791,3.11479E-05
Avg MEP,cg07433453,-0.111108635,3.11711E-05
26w MCNP,cg08019651,0.141317795,3.11862E-05
13w MCPP,cg23702117,-0.203270711,3.15441E-05
26w MEHHP,cg16585682,0.132971319,3.19157E-05
26w MCNP,cg17248183,0.198546553,3.19624E-05
26w MCNP,cg17764203,0.151905082,3.19771E-05
26w MECPP,cg12070036,-0.633779766,3.20101E-05
Avg ?HMW,cg16582062,1.873976672,3.20379E-05
26w MCNP,cg07236157,0.277454056,3.21626E-05
26w MCNP,cg12763402,0.149661282,3.2201E-05
Avg MBP,cg11253592,-0.280000372,3.22659E-05
13w MCPP,cg01503218,-0.251536106,3.23891E-05
13w MECPP,ch.6.20366279F,-0.322922212,3.28327E-05
Avg ?LMW,cg03596479,-0.168931348,3.296E-05
Avg MBzP,cg14159004,-0.151562177,3.30351E-05
26w MCNP,cg02921779,0.153913783,3.30883E-05
26w MEOHP,cg07954885,0.135664406,3.31142E-05
26w MCNP,cg06754047,0.279915168,3.31567E-05
Avg MECPP,cg04800585,0.166520039,3.33418E-05
Avg MBP,cg22684507,-0.260251677,3.34104E-05
26w MCNP,cg06871213,0.270912806,3.34568E-05
26w MCNP,cg23112672,0.147737166,3.35381E-05
26w MCNP,cg20064928,0.273089647,3.36421E-05
26w MCNP,cg05670488,0.149150825,3.38847E-05
13w MEOHP,cg19919720,-0.148976498,3.39026E-05
Avg MEP,cg26267259,-0.148872799,3.39716E-05
Avg MECPP,cg08838806,0.18333132,3.4099E-05
26w MCNP,cg11715999,0.171916328,3.41005E-05
26w MEHHP,cg22547396,0.12646352,3.41056E-05
26w MiBP,cg07006526,0.363753162,3.41321E-05
26w ?DEHP,cg05578989,0.218885767,3.4189E-05
26w MEHHP,cg00170796,0.247268457,3.43904E-05
Avg MEP,cg03903472,-0.107375653,3.4446E-05
26w MEOHP,cg16162391,0.221351128,3.44854E-05
26w MCNP,cg00794378,0.169016157,3.45095E-05
Avg MCPP,cg07006526,0.438857348,3.45848E-05
Avg MBzP,cg20727114,-0.237989149,3.46228E-05
26w MCNP,cg06901060,0.191576916,3.46748E-05
26w MEHHP,cg06751221,0.117419021,3.46979E-05
26w ?DEHP,cg08697116,0.268592566,3.47582E-05
13w MCPP,cg20466748,0.634918237,3.47776E-05
26w MiBP,cg19497021,-0.105844492,3.49029E-05
Avg ?DEHP,cg17313483,0.313834596,3.49235E-05
13w ?LMW,cg25552655,-0.927456119,3.50081E-05
26w MEHHP,cg10688941,0.112126623,3.52639E-05
26w ?HMW,cg00887700,0.154021702,3.52762E-05
Avg MBzP,cg22684507,-0.242917753,3.52842E-05
26w MCNP,cg02176407,0.156025387,3.52937E-05
Avg MEP,cg18408411,-0.10758205,3.54616E-05
13w MCPP,cg26340737,0.246008518,3.55359E-05
Avg MBzP,cg17632124,-0.143133352,3.57462E-05
Avg MBzP,cg04279164,-0.091019901,3.5828E-05
26w MEHHP,cg23466916,0.136720599,3.58992E-05
Avg MEP,cg04988918,-0.106405287,3.59198E-05
Avg MCPP,cg07124480,-0.219199624,3.59692E-05
26w MECPP,cg13828183,0.146470353,3.60868E-05
26w MCNP,cg04118234,0.258563481,3.61758E-05
26w MEP,cg01734338,-0.146849088,3.62664E-05
Avg MEHHP,cg16582062,1.535124682,3.63564E-05
Avg ?LMW,cg13168407,0.194214384,3.65469E-05
26w MCNP,cg22974982,0.136145986,3.6568E-05
26w MCNP,cg21877744,0.193871125,3.66395E-05
26w MEHP,cg19838043,0.155441452,3.66869E-05
26w MEHHP,cg13411038,0.286305329,3.6978E-05
Avg MCNP,cg16735781,-0.266076395,3.72245E-05
26w MEOHP,cg08286799,0.136593687,3.73408E-05
26w MCNP,cg09601882,0.161756901,3.76039E-05
26w MCNP,cg02337166,0.227977157,3.7673E-05
Avg MEOHP,cg16906346,0.479688104,3.7817E-05
26w MEOHP,cg16585682,0.130153627,3.80804E-05
13w MCNP,cg14221264,0.308097279,3.82186E-05
26w MCNP,cg13852303,0.295956902,3.82714E-05
26w MCNP,cg23924413,0.185564118,3.84407E-05
Avg MEP,cg18099632,-0.214402935,3.85005E-05
26W ?LMW,cg13868565,0.273187962,3.85209E-05
26w MCNP,cg06197769,0.293297842,3.85513E-05
26w MEOHP,cg00977403,0.298278961,3.86349E-05
Avg MCNP,cg26137068,-0.295166004,3.86757E-05
26w MEP,cg06322639,-0.140866688,3.87651E-05
26w MCNP,cg18665023,0.14581774,3.87751E-05
Avg MBzP,cg21399203,-0.204300636,3.87838E-05
26w MCNP,cg07281414,0.156249344,3.8898E-05
26w MCNP,cg22826936,0.135453656,3.8911E-05
Avg MEOHP,cg07006526,0.498895219,3.90794E-05
26w MCNP,cg00848397,0.162360908,3.92064E-05
13w MCPP,cg13165983,-0.133973579,3.92893E-05
13w MEOHP,ch.6.20366279F,-0.265522982,3.92994E-05
26w MCNP,cg23817169,0.222101279,3.94287E-05
26w MECPP,cg14163334,0.17575139,3.94691E-05
13w MEHP,cg08781738,-0.185754055,3.96299E-05
26w MCNP,cg22800025,1.051954552,3.97423E-05
Avg MiBP,cg10930540,-0.193485349,3.99153E-05
Avg MCNP,cg02638057,0.965991197,4.0109E-05
26w ?DEHP,cg04340095,0.190188341,4.01477E-05
26w MEOHP,cg19847411,0.157380388,4.03883E-05
Avg MBP,cg06770163,-0.237254324,4.04889E-05
13w MCPP,cg00732656,-0.147608213,4.06689E-05
Avg MBP,cg00660452,-0.311467624,4.0698E-05
Avg ?LMW,cg25796062,-0.12361922,4.07251E-05
13w MCPP,cg14780466,0.557657713,4.07996E-05
26w MCNP,cg05641961,0.147304619,4.08495E-05
26w ?HMW,cg19258784,0.200655441,4.0982E-05
26w MCNP,cg02764370,0.151637212,4.09922E-05
26w MEHP,cg22938275,0.090342284,4.10854E-05
26w MEHHP,cg11715999,0.127843913,4.11346E-05
26w MEHHP,cg04783231,0.158274481,4.1157E-05
Avg MEP,cg13283896,-0.148981949,4.11753E-05
26w MEOHP,cg11332336,0.126138105,4.11772E-05
Avg MiBP,cg07630544,-0.343702322,4.11789E-05
Avg ?LMW,cg15995704,-0.230259912,4.12256E-05
26w MCNP,cg07101579,0.174639517,4.12353E-05
26w MEP,cg09450352,-0.12387123,4.12855E-05
26w MEP,cg22365757,-0.190832384,4.13822E-05
Avg MBzP,cg13969788,-0.148992116,4.14205E-05
13w MCPP,cg06489912,-0.138409799,4.15371E-05
26w MECPP,cg00887700,0.14807837,4.19203E-05
13w MEP,cg14789214,0.067373536,4.20104E-05
Avg ?LMW,cg04988918,-0.122132371,4.20226E-05
26w ?DEHP,cg08678044,0.179530176,4.2431E-05
26w MEHHP,cg17313483,0.22361187,4.24564E-05
26w MCNP,cg14132016,0.134311273,4.25251E-05
26w MECPP,cg06721300,0.139504651,4.25752E-05
26w ?DEHP,cg21417675,0.185718048,4.26391E-05
Avg MEP,cg25510643,0.211770442,4.27175E-05
Avg MEP,cg00759295,0.210462003,4.27197E-05
13w MCPP,cg00357238,1.131481067,4.29363E-05
26w MCNP,cg20641465,0.186935226,4.29554E-05
26w MEOHP,cg19109608,0.494008978,4.29856E-05
26w MECPP,cg21289919,0.157941447,4.30232E-05
26w MEHP,cg22512438,-0.339056751,4.32269E-05
13w MCPP,cg23125608,0.191122551,4.32689E-05
26w MCNP,cg09537173,0.150036382,4.34032E-05
13w MBzP,cg26228943,1.422646184,4.34141E-05
26w MECPP,cg01740282,0.180803709,4.35048E-05
26w ?HMW,cg06423354,0.216156233,4.35918E-05
Avg MCPP,cg10954330,-0.990905633,4.3715E-05
26w MEHHP,cg19258784,0.158542755,4.37282E-05
26w ?DEHP,cg06721300,0.130675725,4.38662E-05
Avg ?DEHP,cg04800585,0.156387219,4.41297E-05
26w MBzP,cg20413202,0.169779259,4.44036E-05
Avg MEOHP,cg14125468,0.155875935,4.45902E-05
Avg MEOHP,cg16582062,1.444068112,4.46569E-05
