cpg,beta,p
cg06641503,-0.498638109,9.3978E-07
cg25531341,-0.244324434,9.42291E-07
cg02110527,-0.242951917,9.42814E-07
cg15915658,-0.2276247,9.43418E-07
cg02085660,-0.215474744,0.000000944
cg01708977,-0.454213296,9.46443E-07
cg25691553,-0.574665929,9.51695E-07
cg20161996,-0.25996955,9.5179E-07
cg22265394,-0.369123059,9.53255E-07
cg26284735,-0.357641454,9.60926E-07
cg07111834,-0.366597427,9.65562E-07
cg17411016,-0.216470376,9.65807E-07
cg06082906,-0.372414945,9.66376E-07
cg04448933,-0.365539374,9.70261E-07
cg05526364,-0.413474083,9.74815E-07
cg22826818,-0.27851613,9.79153E-07
cg19874726,0.162563364,9.80073E-07
cg14888916,0.162878323,9.82397E-07
cg05525368,-0.324075748,9.82586E-07
cg05153380,-0.360558551,9.82609E-07
cg23313379,-0.350940668,9.82786E-07
cg16198130,-0.219594244,9.92638E-07
cg11961845,-0.406317382,9.93667E-07
cg04188351,-0.35556082,1.01082E-06
cg24018190,-0.231437048,1.01767E-06
cg26581200,-0.34191551,1.02783E-06
cg19457823,-0.443827937,1.02833E-06
cg03630797,-0.082508772,1.03312E-06
cg03692991,-0.284100144,1.03325E-06
cg09559189,0.16267436,1.04665E-06
cg02970551,-0.480895643,1.05312E-06
cg15896892,0.274945285,1.05569E-06
cg02223905,-0.3561613,0.000001057
cg18482960,-0.244303547,1.05929E-06
cg05727573,-0.244016223,0.00000106
cg16433493,-0.297457036,1.06192E-06
cg04388983,0.214198322,1.0672E-06
cg27109748,-0.383913009,1.06908E-06
cg18967021,-0.269908193,0.000001079
cg09850137,-0.262240425,1.08019E-06
cg24843380,0.396987485,1.08113E-06
cg18804777,-0.243274836,1.08268E-06
cg14134128,-0.342968279,1.09085E-06
cg16594502,-0.429906776,1.09217E-06
cg26803289,-0.356027082,1.09649E-06
cg01168339,-0.331922038,1.09988E-06
cg02416986,-0.205435491,0.0000011
cg08892078,-0.226268473,1.10211E-06
cg05737522,-0.325898485,0.000001108
cg10973762,-0.461403608,1.11772E-06
cg25769469,-0.479711818,1.12546E-06
cg13909405,-0.377966816,1.1275E-06
cg06582411,-0.233780063,1.13015E-06
cg19642408,-0.389879999,1.13193E-06
cg04441847,-0.360904152,1.13309E-06
cg21617357,-0.269648985,1.13395E-06
cg14656575,-0.266140104,1.13546E-06
cg23704324,-0.252051806,1.13647E-06
cg06061966,0.375067901,1.1379E-06
cg10648908,-0.1812106,1.14106E-06
cg24447775,-0.167477371,1.14346E-06
cg12350762,0.144722077,0.000001146
cg22376269,-0.296508514,1.14846E-06
cg11797430,-0.219257055,1.15143E-06
cg03999941,-0.321032208,1.15307E-06
cg25291978,-0.373460097,1.15547E-06
cg07573872,-0.361046052,1.15826E-06
cg11053466,-0.454617545,1.16058E-06
cg27344587,0.410002341,1.17477E-06
cg21775570,0.385568339,1.18075E-06
cg08822075,-0.448569507,1.18206E-06
cg01062942,-0.234965505,1.18306E-06
cg00481216,-0.357110609,1.19068E-06
cg21143441,-0.436584522,1.19573E-06
cg26252045,-0.48793212,1.19795E-06
cg01689438,0.131633528,1.2092E-06
cg17830714,-0.228293561,1.21431E-06
cg03702413,-0.229599156,1.2253E-06
cg16860004,-0.287797655,1.23129E-06
cg14712939,-0.358176098,1.23595E-06
cg13335567,-0.191020012,1.2371E-06
cg13473120,0.143911171,1.2416E-06
cg07189782,-0.382377145,0.000001245
cg27642416,-0.391641818,1.24564E-06
cg07505964,-0.311969997,1.24637E-06
cg08034797,-0.271330433,1.24753E-06
cg13475583,-0.545151126,1.25567E-06
cg10575547,-0.341676804,0.00000126
cg03553826,-0.297520887,1.26642E-06
cg02010481,-0.831484729,1.26894E-06
cg04348250,-0.237926713,1.27006E-06
cg02531439,-0.536272275,0.000001273
cg26164488,-0.330387144,1.27576E-06
cg05425664,-0.161827065,0.000001276
cg08892386,-0.34046173,1.2773E-06
cg24524485,-0.340295165,1.27844E-06
cg10456591,-0.442660772,1.28424E-06
cg20959965,-0.331827544,1.28859E-06
cg17112958,0.150116249,1.29129E-06
cg03119088,-0.13947132,1.2935E-06
cg15393297,-0.389364606,1.29846E-06
cg14286443,-0.314435736,1.29931E-06
cg14182690,-0.278856249,1.3045E-06
cg14055655,-0.255854852,1.30595E-06
cg03987884,-0.233866621,0.000001307
cg24049629,-0.542457533,1.30705E-06
cg07541160,-0.270379267,0.000001318
cg04768602,0.226970366,1.32052E-06
cg09473510,0.532986411,1.32268E-06
cg00359365,-0.416642327,0.000001323
cg00287841,-0.245712905,1.33559E-06
cg17819085,-0.452803657,1.33675E-06
cg23863157,-0.411269249,1.33793E-06
cg01851378,0.217160255,1.33982E-06
cg09169923,-0.260111941,1.34312E-06
cg00945666,0.546302913,1.34913E-06
cg13776542,-0.20306209,1.34987E-06
cg07641807,-0.333426788,1.35506E-06
cg24812167,-0.342917721,1.35737E-06
cg05719911,-0.170543071,1.3767E-06
cg03690187,-0.277101675,1.38367E-06
cg00175153,-0.363208832,1.38391E-06
cg15059367,-0.354696679,1.38721E-06
cg12111137,-0.250646539,1.38747E-06
cg02910451,-0.393219737,1.38887E-06
cg00475131,-0.211021853,1.39136E-06
cg20850016,-0.393809261,1.39517E-06
cg13503179,-0.278318461,1.39657E-06
cg04587617,-0.315617211,1.39906E-06
cg04494844,-0.269425515,0.000001409
cg09331106,-0.196985518,1.41169E-06
cg07777652,-0.285891088,1.41589E-06
cg26108621,-0.480234005,1.4163E-06
cg14087413,-0.301162878,1.42586E-06
cg06846719,-0.553486672,1.42607E-06
cg05748163,0.171754032,1.43146E-06
cg11465213,0.378216449,1.43194E-06
cg18009380,-0.251813643,1.4374E-06
cg20092936,-0.274634229,1.44044E-06
cg27299588,-0.269874683,0.000001442
cg24680570,-0.425988119,1.4455E-06
cg04885775,-0.415686999,0.000001451
cg18527751,-0.570663341,1.45525E-06
cg06026129,-0.105603306,1.45768E-06
cg27232494,-0.196288778,1.47612E-06
cg10698920,-0.288240928,1.47767E-06
cg10083889,-0.257353227,1.4815E-06
cg21845226,-0.298348044,1.4818E-06
cg08080735,0.383848058,1.48725E-06
cg08570691,-0.45419903,1.48819E-06
