cpg,beta,p
cg19074437,-3.494235212,1.26985E-20
cg10522587,-3.076790199,1.41924E-20
cg03456968,2.693025735,1.52784E-20
cg03460534,-3.331119112,1.57333E-20
cg16636641,2.944376768,1.5886E-20
cg03843972,2.923223212,1.60862E-20
cg05091921,-3.349435164,1.63965E-20
cg15162219,-3.569294241,1.71653E-20
cg09857761,-4.989625919,1.75854E-20
cg10987801,-3.517728887,1.85838E-20
cg16087684,-2.789159213,2.00659E-20
cg12480580,-4.750891449,2.07382E-20
cg00756450,-3.110622802,2.18384E-20
cg12163490,3.459122749,2.20659E-20
cg25396464,-3.443722257,2.20889E-20
cg13411879,3.397681783,2.2138E-20
cg23236169,-2.699143342,2.23408E-20
cg23707912,-4.587467572,2.29392E-20
cg18393044,-3.687832094,2.44921E-20
cg03926968,-2.560547086,2.48433E-20
cg01929867,-3.121494448,2.52321E-20
cg03458633,-3.526132078,2.67794E-20
cg26428191,-4.733324615,2.70492E-20
cg03382715,-3.301959734,2.8418E-20
cg01995718,-5.087912517,2.90791E-20
cg14530679,-3.348886352,2.92242E-20
cg07603951,-5.399580369,2.98434E-20
cg03701266,-4.935993282,3.00692E-20
cg00042325,-3.69294613,3.03784E-20
cg08904445,-3.11533344,3.06049E-20
cg17819896,-3.72190638,3.10082E-20
cg04947533,-4.694363612,3.27258E-20
cg24111710,-4.632900263,3.43975E-20
cg24708006,4.203084221,3.57377E-20
cg10333051,-3.779317597,3.59399E-20
cg10051312,-2.903664098,3.83549E-20
cg14600600,-3.817257545,3.91668E-20
cg24385902,-2.874792688,3.9963E-20
cg22194396,-2.718549849,4.06498E-20
cg21193451,3.462597885,4.20081E-20
cg06053850,-3.233172629,4.32465E-20
cg01693063,3.854430572,4.3337E-20
cg08071142,-3.48380821,4.4582E-20
cg17722656,-2.967874858,4.46208E-20
cg16395679,-4.819261085,4.49047E-20
cg01661350,2.596896385,4.58254E-20
cg04022023,-4.816505829,4.62964E-20
cg20476329,-3.693739552,4.81222E-20
cg16062320,-3.523510373,4.91541E-20
cg13733010,-4.108310027,4.93629E-20
cg15090714,3.510017359,5.08825E-20
cg20036365,-3.453013846,5.22411E-20
cg24207610,-2.482760364,5.47904E-20
cg03693403,-3.025015963,5.6109E-20
cg10328259,-4.774570333,5.82046E-20
cg03126713,-4.42496915,6.01183E-20
cg13382117,-3.550403575,6.04937E-20
cg02944840,-3.345654919,6.06902E-20
cg00820581,3.490709456,6.22563E-20
cg25420230,-3.985891202,6.40704E-20
cg08649501,-5.037914862,6.45474E-20
cg06165699,2.816458763,6.5372E-20
cg09060090,3.635727847,6.875E-20
cg11135168,-2.816925794,7.5351E-20
cg19027884,-3.23112937,7.71438E-20
cg22877925,-3.84873756,7.74659E-20
cg05488343,-2.784410523,7.89893E-20
cg06719602,-3.078419295,8.20792E-20
cg10674393,-5.352780657,8.55438E-20
cg24523650,-3.280547696,9.03966E-20
cg09248007,3.911030998,9.22212E-20
cg13837552,2.730006899,9.24992E-20
cg06196636,-4.273083667,9.43907E-20
cg25783241,-4.20742039,9.54723E-20
cg06123940,-4.006554189,9.94489E-20
cg09948179,-4.998847129,1.01899E-19
cg26112390,-3.053264836,1.01997E-19
cg23463205,-3.317122606,1.02722E-19
cg01691255,-2.988969288,1.03849E-19
cg26879538,-2.828146074,1.03978E-19
cg16105754,-4.646307253,1.04183E-19
cg04525335,-3.998269061,1.05804E-19
cg23369647,-4.615076229,1.06715E-19
cg23887819,-3.128890625,1.08489E-19
cg04823492,-4.53970594,1.09094E-19
cg12036829,-2.641532875,1.09809E-19
cg06367693,3.81395432,1.10278E-19
cg02319016,-3.831320993,1.11009E-19
cg05673432,-5.137472572,1.12957E-19
cg07062456,-3.319495376,1.17059E-19
cg10655371,-3.665988871,1.18374E-19
cg02690756,-3.511031368,1.2341E-19
cg07604202,-4.220454195,1.23448E-19
cg15290081,-3.126809056,1.24112E-19
cg14788660,-2.127618449,1.24254E-19
cg01477797,-3.433902222,1.24894E-19
cg21301655,-4.076906817,1.26437E-19
cg19243391,-2.342092199,1.27863E-19
cg04301343,3.63943948,1.28395E-19
cg02671458,-5.248948552,1.29163E-19
cg12878615,-4.180667162,1.30149E-19
cg26912426,-3.15259927,1.33529E-19
cg12510110,-3.0637469,1.42237E-19
cg08705895,-4.247899664,1.43443E-19
cg09765074,-2.787392666,1.46521E-19
cg22351824,-4.355421733,1.46955E-19
cg06472116,-5.174888553,1.47717E-19
cg08619893,-3.038240069,1.47727E-19
cg17299412,-4.479431381,1.48697E-19
cg00871698,4.373980706,1.49415E-19
cg08415592,-3.065023636,1.54331E-19
cg17717357,-3.617758841,1.56162E-19
cg01529637,2.906374172,1.61584E-19
cg26352439,-4.520614793,1.65666E-19
cg16533315,-4.330048884,1.71113E-19
cg03014969,-3.354200001,1.71192E-19
cg21537122,-3.536783717,1.72684E-19
cg26353844,-3.440540186,1.75629E-19
cg10042478,-3.322087093,1.83459E-19
cg00028251,-3.285909632,1.83904E-19
cg09282654,-5.021576901,1.84894E-19
cg19272891,3.927409691,1.8561E-19
cg04034517,-3.087180224,1.90263E-19
cg01302641,3.819688833,1.92767E-19
cg16187919,-3.037234858,1.92958E-19
cg10728179,-4.349710529,1.94477E-19
cg21352393,-2.697304465,1.95579E-19
cg02850546,-5.226073504,2.00056E-19
cg16500097,-3.126218181,2.00296E-19
cg10778931,-3.035352144,2.03858E-19
cg23877512,-3.195213528,2.0766E-19
cg06503243,-4.412698342,2.09394E-19
cg02523617,4.223603623,2.12297E-19
cg05862979,-4.88585473,2.12939E-19
cg07257190,-2.621574557,2.12945E-19
cg03217360,-4.20764785,2.13681E-19
cg13598426,-3.362642945,2.14953E-19
cg00647220,3.115040962,2.15393E-19
cg15590863,-4.06664815,2.1568E-19
cg19005373,-2.080948036,2.1867E-19
cg10919889,-4.472824012,2.20055E-19
cg13170468,-3.774427046,2.25145E-19
cg20171860,-4.533774193,2.27377E-19
cg07687332,4.427713877,2.2996E-19
cg03700308,3.173598149,2.30443E-19
cg20509351,-3.004927673,2.30451E-19
cg27556136,-2.988331251,2.30781E-19
cg14087083,-4.878666393,2.32173E-19
cg26289436,-3.816791799,2.32213E-19
cg11742383,-4.339980295,2.34168E-19
cg07120806,4.018781587,2.3844E-19
cg18802268,-4.070980492,2.41336E-19
cg26148059,-2.633743575,2.43478E-19
cg18392943,-2.608072399,2.44613E-19
cg01641835,-2.794560176,2.47098E-19
cg07687820,-3.826897115,2.48413E-19
cg00512023,-2.917974255,2.49996E-19
cg20299105,-2.566876784,2.50352E-19
cg25355465,-3.294722898,2.5038E-19
cg14522841,-4.135648156,2.58138E-19
cg01038940,-2.775665793,2.66072E-19
cg01591240,-2.868741433,2.67577E-19
cg03624908,-4.626135511,2.68322E-19
cg08430074,-2.822762468,2.82357E-19
cg08194650,-2.740212453,2.82941E-19
cg16872756,-4.980749642,2.8583E-19
cg23627475,-3.236500463,2.86828E-19
cg19418123,-3.815154173,2.9088E-19
cg19735739,-2.741681629,3.00669E-19
cg17908719,-4.713965282,3.11744E-19
cg19517410,-3.665131333,3.14527E-19
cg24798853,-4.212758311,3.21548E-19
cg05902063,2.930072627,3.25308E-19
cg08808367,3.070378503,3.27953E-19
cg14853443,-3.24407903,3.28892E-19
cg03940966,4.057202194,3.29231E-19
cg19721541,-3.569376539,3.30187E-19
cg08284758,-3.006130678,3.34124E-19
cg08093398,-3.615098732,3.37939E-19
cg11689744,-3.269321529,3.43955E-19
cg23519421,-3.296751014,3.44403E-19
cg26347887,-2.098944223,3.47248E-19
cg24087515,-2.797066032,3.53795E-19
cg19912883,-3.202681448,3.55573E-19
cg00888818,-4.276404851,3.58644E-19
cg12907513,-4.748553726,3.59537E-19
cg22722807,-3.982512735,3.61059E-19
cg00852846,2.283407303,3.64264E-19
cg04396850,-2.451996386,3.66122E-19
cg03353000,3.009834638,3.66538E-19
cg22891988,3.227756782,3.76283E-19
cg03635171,-3.016676952,3.79069E-19
cg13174343,-2.966559384,4.02738E-19
cg06708122,-4.055935093,4.04213E-19
cg02350740,-2.631088254,4.04981E-19
cg27258878,-3.277160488,4.05767E-19
cg20414217,-3.570404332,4.08059E-19
cg01928910,-2.820949272,4.09431E-19
cg23117592,-3.112352229,4.09986E-19
cg03802231,3.692538258,4.10302E-19
cg12110929,-3.008369432,4.19051E-19
cg03665229,-2.63308655,4.21761E-19
cg03033780,-3.593124466,4.27915E-19
cg07926758,3.181608052,4.3645E-19
cg21343895,-3.638242944,4.53389E-19
cg08869493,-2.985354256,4.56384E-19
cg12545852,-3.371266394,4.56608E-19
cg15817406,-3.108294481,4.65557E-19
cg27342559,-4.402644607,4.82838E-19
cg09900527,-3.728777319,4.83805E-19
cg17522550,-3.651777279,4.84258E-19
cg05668667,-3.585034845,5.10934E-19
cg06003986,3.04324337,5.16929E-19
cg14235676,3.241862364,5.25883E-19
cg06640020,-3.408925737,5.26359E-19
cg04480325,-3.862122415,5.36624E-19
cg04914323,-4.076300293,5.44182E-19
cg26389381,-3.248020759,5.477E-19
cg03446694,-2.497246015,5.55587E-19
cg05981335,2.526364711,5.58602E-19
cg03881524,-3.962218875,5.65303E-19
cg17035490,-2.837646191,5.73524E-19
cg26317888,-3.258597204,5.7487E-19
cg01919034,-3.36393489,5.78822E-19
cg16638931,-2.759707321,5.82694E-19
cg19507893,-4.001900785,5.89431E-19
cg12565215,-3.022435837,5.91374E-19
cg02685945,-4.830837896,5.9605E-19
cg05042110,-3.83629904,5.9814E-19
cg07561890,-3.810827455,6.04571E-19
cg13675319,-4.277962025,6.07539E-19
cg13108852,-2.75342961,6.20737E-19
cg03804556,-3.671217069,6.33884E-19
cg10247061,-2.748249971,6.37694E-19
cg03317430,-2.944935265,6.45754E-19
cg04802018,-4.003401322,6.49781E-19
cg11166888,-2.50979365,6.53767E-19
cg26586942,-3.399153894,6.56346E-19
cg22827060,2.991496777,6.67572E-19
cg01335685,3.966234362,6.70609E-19
cg06023341,-2.776519567,6.78517E-19
cg16411857,-2.219586661,7.05508E-19
cg08874599,-4.98181789,7.09297E-19
cg19707735,-3.212315721,7.28796E-19
cg25401219,-2.884619724,7.30586E-19
cg13294780,2.630259485,7.365E-19
cg26009773,2.91837542,7.45786E-19
cg12785139,-3.559533679,7.47554E-19
cg18210226,3.491519539,7.55005E-19
cg19678315,-3.608570255,7.60681E-19
cg16265078,3.709450552,7.79504E-19
cg03441304,3.011898795,7.79784E-19
cg23924911,-3.048905115,7.84966E-19
cg09008896,3.97236084,7.95463E-19
cg02126497,-3.31955524,8.11201E-19
cg19370278,-3.543638144,8.16614E-19
cg16476382,-2.566524537,8.17236E-19
cg12876009,3.118436439,8.22192E-19
cg05844409,-4.121356306,8.22951E-19
cg21485150,-4.224438336,8.23313E-19
cg26945361,-2.557498498,8.30449E-19
cg20990694,-4.31297833,8.4472E-19
cg01488306,-3.119947594,8.4596E-19
cg25928444,-4.298291638,8.54526E-19
cg21017077,-3.070043857,8.56922E-19
cg12203416,-3.586557665,8.79216E-19
cg16207905,-3.750585113,8.93436E-19
cg03749599,-3.274362831,9.04475E-19
cg19788417,-3.832184272,9.14188E-19
cg22061479,-2.790073194,9.18409E-19
cg12975330,-2.989220645,9.20255E-19
cg20777257,-3.694751995,9.25736E-19
cg26917965,-3.548805413,9.41656E-19
cg07488365,-2.807758663,9.46115E-19
cg19134770,-3.330603718,9.4639E-19
cg24582137,-2.909191594,9.57409E-19
cg04835925,-2.665458774,9.62255E-19
cg00232675,-3.34433531,9.84761E-19
cg22217678,-3.397345247,1.00583E-18
cg07945925,-2.218779254,1.00914E-18
cg03080105,-3.042500753,1.02219E-18
cg06890950,-3.741891318,1.02359E-18
cg09681706,-3.944773509,1.03073E-18
cg04259977,3.056323769,1.04E-18
cg15963714,-4.998618081,1.04354E-18
cg02947993,3.604764306,1.04859E-18
cg11499689,-2.890379303,1.05522E-18
cg09456065,-3.518787546,1.07916E-18
cg18326115,-3.556138303,1.09524E-18
cg21045608,4.62893707,1.10572E-18
cg02874321,-3.955011463,1.10617E-18
cg14957547,3.356322296,1.1101E-18
cg21080251,-2.591885151,1.12683E-18
cg08278843,3.078566045,1.13165E-18
cg21974985,-4.32672605,1.13753E-18
cg15299947,-3.170314274,1.13877E-18
cg02642298,4.348877245,1.1392E-18
cg10922530,2.989451617,1.17014E-18
cg08215115,-4.620703743,1.19234E-18
cg06776823,-3.216044491,1.19549E-18
cg17823376,-2.913842693,1.19839E-18
cg01162549,-4.102917671,1.20022E-18
cg14493055,-3.36387044,1.21195E-18
cg05834728,-2.772457364,1.215E-18
cg01983759,-3.133689447,1.23006E-18
cg15441369,-3.476553676,1.23518E-18
cg18610632,-3.394763961,1.24157E-18
cg07105891,-5.121438229,1.25266E-18
cg02329358,-4.053311325,1.25635E-18
cg18229313,-3.275863634,1.27094E-18
cg12679192,-4.184013177,1.28496E-18
cg14961385,4.016622952,1.28876E-18
cg10023469,-3.422033763,1.31485E-18
cg20743628,-3.703788592,1.36798E-18
cg19565920,-4.95877081,1.38042E-18
cg23658814,-2.657413961,1.39195E-18
cg26672739,4.225813817,1.40956E-18
cg19764326,-2.764138958,1.42528E-18
cg09107055,-3.166127894,1.44257E-18
cg25428213,-4.679307533,1.44519E-18
cg02953432,-2.820661885,1.44909E-18
cg01840724,-3.676856832,1.45934E-18
cg25807071,3.080641406,1.46303E-18
cg04857149,2.639141384,1.46488E-18
cg12444385,2.750406087,1.47987E-18
cg24766109,-3.805878934,1.49642E-18
cg04252939,-3.646640276,1.49683E-18
cg03113740,-2.494083049,1.50882E-18
cg21118250,-4.421704029,1.51151E-18
cg04958252,-2.839396084,1.51769E-18
cg00445254,-3.097417326,1.53104E-18
cg17885226,1.742194026,1.54256E-18
cg10515950,-3.479165015,1.54415E-18
cg20977357,-3.168280745,1.56274E-18
cg26420606,-4.613577433,1.56744E-18
cg15134120,3.328736334,1.56782E-18
cg17451046,-2.730911586,1.57707E-18
cg17920744,-3.23639383,1.61062E-18
cg12595762,-4.406845674,1.61298E-18
cg13973449,-3.751734915,1.63172E-18
cg18744145,-4.04850185,1.63235E-18
cg18537977,-4.307741877,1.64169E-18
cg13977660,-2.533439768,1.66238E-18
cg02293228,3.630697467,1.66481E-18
cg17189020,-2.507866879,1.67278E-18
cg25657218,-4.748285369,1.67738E-18
cg13273243,-2.91033643,1.68358E-18
cg27337459,-4.659812708,1.69535E-18
cg00768815,-4.692626253,1.72565E-18
cg03056129,-3.635669158,1.73713E-18
cg15704004,-3.847294434,1.74388E-18
cg16573136,3.208487402,1.77962E-18
cg24970879,-3.987375438,1.7994E-18
cg04782552,-3.722849017,1.81053E-18
cg16448351,-3.671511421,1.89488E-18
cg09415720,-4.234079204,1.91815E-18
cg26218264,-3.632714168,1.92031E-18
cg13875763,-4.857168996,1.92122E-18
cg27244773,-2.458475981,1.95329E-18
cg26414564,-3.253893887,1.96596E-18
cg00303723,2.637367406,1.96892E-18
cg16518990,-3.355124748,2.00146E-18
cg02842869,-4.712795975,2.03039E-18
cg07872276,-3.003337602,2.03991E-18
cg06528310,-3.548195374,2.04469E-18
cg23050227,-3.335560038,2.04626E-18
cg18234533,-4.964313754,2.09635E-18
cg13480774,-4.051295677,2.1133E-18
cg16741245,-3.322872834,2.12018E-18
cg03458455,-3.302825874,2.12313E-18
cg08501735,-3.978319922,2.1286E-18
cg22788109,-3.345529336,2.14377E-18
cg25188298,-1.999635555,2.15093E-18
cg01563558,-3.184213651,2.1778E-18
cg19445642,-3.019859819,2.17783E-18
cg01714921,-2.454910758,2.18546E-18
cg01090686,-4.286715006,2.1873E-18
cg04492982,-2.770434827,2.19627E-18
cg02977810,-3.233638669,2.24389E-18
cg04254389,-3.724683828,2.24744E-18
cg05755239,3.474164773,2.272E-18
cg26241240,-4.306787923,2.27776E-18
cg00583731,-3.152917677,2.28643E-18
cg06090383,2.848863169,2.28644E-18
cg23836113,-2.746475776,2.29691E-18
cg20015424,-3.811415905,2.29815E-18
cg03513962,3.910256389,2.299E-18
cg01739965,2.518801537,2.30502E-18
cg26620682,-4.000869686,2.31095E-18
cg18284523,3.682525315,2.33769E-18
cg06691229,3.805116931,2.37108E-18
cg18716486,-2.754783305,2.37969E-18
cg00924727,3.078005796,2.38188E-18
cg22449330,-2.357700978,2.42635E-18
cg23768702,-3.524905649,2.43594E-18
cg00103401,-3.956207401,2.47202E-18
cg11667301,-3.402842976,2.51512E-18
cg26569670,2.617269328,2.53681E-18
cg18000800,-3.494925522,2.57929E-18
cg17258537,-4.580906673,2.59233E-18
cg07752194,-3.838810685,2.59264E-18
cg05458412,-2.751266668,2.60462E-18
cg11725182,-3.596180373,2.62448E-18
cg04799823,3.270719141,2.6356E-18
cg11718780,-2.330942069,2.63902E-18
cg04521224,-4.380155967,2.70603E-18
cg26835798,-2.697114232,2.71629E-18
cg20857301,-2.426874522,2.72926E-18
cg18248184,-4.290246684,2.7297E-18
cg10594495,3.063080825,2.7331E-18
cg04165073,-3.504186545,2.83006E-18
cg14619203,-3.647373945,2.85429E-18
cg19709928,-3.412366739,2.8924E-18
cg21550623,-4.542348786,2.89859E-18
cg27371984,4.270092485,2.91581E-18
cg07631681,-5.240416266,2.91759E-18
cg12282311,4.202573795,2.96804E-18
cg16608267,-3.011724487,2.99472E-18
cg26610681,4.144934601,3.0059E-18
cg02730299,-4.252715,3.09721E-18
cg23015327,-4.571394786,3.14265E-18
cg23290343,3.717490133,3.14292E-18
cg12814147,-2.662650801,3.17419E-18
cg21611722,-3.661997473,3.17596E-18
cg04830191,-2.728846648,3.21488E-18
cg06978737,-2.92516465,3.2529E-18
cg03605117,-2.432499293,3.28385E-18
cg25263898,-3.345742929,3.29602E-18
cg11130097,-4.164604072,3.33423E-18
cg12074093,3.335535971,3.36234E-18
cg25618672,-3.190286985,3.36766E-18
cg08930897,-3.111827126,3.40903E-18
cg03458836,-3.381352617,3.55745E-18
cg09044728,-3.166154376,3.55898E-18
cg26128481,-3.283790281,3.6237E-18
cg16962802,-3.907215502,3.62748E-18
cg19855559,-3.375312927,3.68305E-18
cg27591117,2.391485135,3.6999E-18
cg07100000,2.847455327,3.72863E-18
cg13962722,-4.154632096,3.73054E-18
cg02194842,-4.753269263,3.75238E-18
cg22649068,4.345837298,3.76778E-18
cg06945747,-2.745488716,3.80768E-18
cg23968650,-3.818432825,3.80898E-18
cg25504143,-2.655883236,3.81069E-18
cg18590611,-3.398931101,3.91149E-18
cg14467015,-4.134557691,3.92334E-18
cg05372578,2.739140157,3.93282E-18
cg25342864,-4.502883645,3.96355E-18
cg27388911,2.69852675,3.98729E-18
cg16721459,2.589830239,4.05622E-18
cg01892997,-2.838350566,4.05807E-18
cg10976778,-3.920209674,4.05989E-18
cg10627913,-3.016497588,4.07534E-18
cg25008156,3.922931474,4.17233E-18
cg27072561,-3.937752174,4.17421E-18
cg09146645,-3.012274726,4.2045E-18
cg00855461,-2.688455893,4.22565E-18
cg22155914,-3.371828722,4.22638E-18
cg15951107,3.497331352,4.23168E-18
cg05999604,-4.432055961,4.23556E-18
cg11407198,-5.117069625,4.26533E-18
cg15381433,-3.238187806,4.27958E-18
cg24879809,3.194060042,4.31891E-18
cg11993506,-4.677840287,4.32092E-18
cg13947043,-3.042570644,4.32962E-18
cg01948589,3.665509878,4.36137E-18
cg08008065,-3.744265194,4.36866E-18
cg12474590,-3.551760487,4.39609E-18
cg03022552,-2.964921777,4.41327E-18
cg27134659,2.286297373,4.43029E-18
cg06867543,-2.831443871,4.48229E-18
cg06089988,3.261154939,4.4885E-18
cg19223274,2.750862332,4.49015E-18
cg15378445,-3.45841611,4.53994E-18
cg06710704,-4.137574068,4.60409E-18
cg04693379,-3.816850451,4.69114E-18
cg25060765,-3.999860217,4.74276E-18
cg11489389,2.42786223,4.84421E-18
cg03176543,-2.643967258,4.8961E-18
cg06741536,2.686227927,4.95929E-18
cg16531718,-3.32386828,4.96554E-18
cg02957620,4.461004572,4.99693E-18
cg05645997,-4.656058178,5.04555E-18
cg02956320,-2.739880927,5.04719E-18
cg16888603,-2.796892956,5.0817E-18
cg10311417,-3.258867105,5.11005E-18
cg18740872,-3.247786246,5.12562E-18
cg24467825,-3.26760223,5.15505E-18
cg06517813,-2.739038298,5.21727E-18
cg08135327,3.533025303,5.25144E-18
cg09612912,-3.608665171,5.30013E-18
cg13322449,-2.695400154,5.31991E-18
cg07793537,-2.996074939,5.33311E-18
cg08208236,2.796281103,5.3776E-18
cg26351468,2.723929367,5.39563E-18
cg07831032,-3.899970445,5.43714E-18
cg15482213,-3.638819317,5.45836E-18
cg05769106,-3.860189483,5.4832E-18
cg16471585,-4.867007091,5.51401E-18
cg20960611,-2.960999107,5.52013E-18
cg04902542,-3.564698828,5.57488E-18
cg22887498,-3.32288178,5.63669E-18
cg21308809,-5.046148376,5.64623E-18
cg15415953,-3.717812085,5.66117E-18
cg17412974,-2.605489796,5.66281E-18
cg15560061,-3.156373002,5.67111E-18
cg18668327,-3.610146952,5.68054E-18
cg23051664,3.439929193,5.74659E-18
cg18331325,-3.046715365,5.8027E-18
cg16494843,-2.970603745,5.88596E-18
cg20505486,-3.061303707,5.91142E-18
cg00571466,-3.298396482,5.92528E-18
cg07367519,-4.526860341,5.98085E-18
cg27656592,-3.050511884,5.99733E-18
cg06348427,-2.69739362,5.99964E-18
cg18315960,2.147843743,6.04955E-18
cg04188764,-3.574932473,6.05492E-18
cg12360753,-4.368672532,6.06118E-18
cg04883656,3.161176656,6.08034E-18
cg04228794,-4.892818242,6.09376E-18
cg20875298,3.319475073,6.0984E-18
cg23642587,2.733553175,6.1108E-18
cg04676388,-3.091750337,6.178E-18
cg26142044,-3.546121161,6.23711E-18
cg01402781,-3.086600518,6.24014E-18
cg18593305,-4.363064167,6.25782E-18
cg16500605,-2.509681529,6.28981E-18
cg07924013,-4.306917188,6.29186E-18
cg14037088,-2.795475978,6.35121E-18
cg00194109,-4.372184679,6.4015E-18
cg20310631,-4.086380411,6.41665E-18
cg02224047,-3.600861294,6.41739E-18
cg03689120,2.572834346,6.44861E-18
cg21052383,-4.698218205,6.48132E-18
cg12325349,3.164836193,6.52164E-18
cg13498650,-3.389009875,6.59049E-18
cg05305702,-2.314702256,6.65135E-18
cg05825459,-3.02475507,6.67185E-18
cg17933226,-4.299204907,6.73891E-18
cg10365657,-2.546065401,6.75325E-18
cg21417030,-3.34106333,6.80048E-18
cg14511364,-3.570931694,6.83197E-18
cg22997906,-4.099841158,6.83205E-18
cg09551996,3.558399362,6.89278E-18
cg06180519,-4.457847936,6.94518E-18
cg22424675,-2.959919639,6.96793E-18
cg03678729,-2.527265643,7.03935E-18
cg25720885,-4.670919973,7.07472E-18
cg04885303,-4.693149186,7.07852E-18
cg00730348,-4.306984426,7.11131E-18
cg04065558,2.722690264,7.16318E-18
cg20644120,2.507731384,7.17711E-18
cg00731874,-3.34189071,7.2192E-18
cg17883458,4.110956703,7.28195E-18
cg25514554,-2.454593714,7.30046E-18
cg13650856,-2.976498557,7.35448E-18
cg23071864,-3.808428088,7.36197E-18
cg08742360,-2.402101112,7.47906E-18
cg07124145,-2.456306116,7.52946E-18
cg23883036,-2.505767968,7.62887E-18
cg10336578,-2.505734951,7.73581E-18
cg18617958,-3.942676243,7.73697E-18
cg05513661,-2.788148077,7.75609E-18
cg19002680,-2.188622278,7.80557E-18
cg14337668,-2.455661957,7.82609E-18
cg08174577,-3.394126182,7.83597E-18
cg04382416,-2.371644506,7.84808E-18
cg13480157,-2.426997408,7.87476E-18
cg10825481,-4.372615774,7.93002E-18
cg12075776,-4.816393114,7.94565E-18
cg02254876,2.635385205,7.947E-18
cg13797960,2.870647051,7.95692E-18
cg08650676,-4.625646227,8.01382E-18
cg05572047,-4.488765681,8.15159E-18
