cpg,beta,p,,,,
cg14334310,-0.00896687,2.42E-12,,,,
cg14209784,-0.014214049,2.49E-12,,,,
cg02872426,-0.021026785,2.64E-12,,,,
cg00059225,0.008924058,2.91E-12,,,,
cg02287710,0.012710001,2.93E-12,,,,
cg08998192,-0.011922568,3.04E-12,,,,
cg12534424,0.007660482,3.09E-12,,,,
cg15963913,-0.011418995,3.22E-12,,,,
cg26038582,-0.024204518,3.36E-12,,,,
cg02085953,-0.008162473,3.57E-12,,,,
cg02383785,0.016082344,3.63E-12,,,,
cg06540876,-0.009887362,4.03E-12,,,,
cg25427880,0.009734068,4.05E-12,,,,
cg27232482,-0.005921194,4.07E-12,,,,
cg14522815,-0.010160375,4.14E-12,,,,
cg20116935,-0.006394242,4.19E-12,,,,
cg10333278,-0.011554376,4.21E-12,,,,
cg12269535,-0.007980794,4.57E-12,,,,
cg18404041,-0.010244656,4.75E-12,,,,
cg03944122,0.006224336,4.79E-12,,,,
cg22927302,-0.006632887,4.89E-12,,,,
cg17110586,0.015897373,5.05E-12,,,,
cg20964856,-0.009604275,5.28E-12,,,,
cg00448560,-0.015029913,5.32E-12,,,,
cg19578183,-0.010812246,5.36E-12,,,,
cg00355829,-0.006136769,5.78E-12,,,,
cg09253473,-0.008768537,5.81E-12,,,,
cg03474926,-0.004607991,5.82E-12,,,,
cg20674490,-0.01158596,5.85E-12,,,,
cg02315732,-0.013397565,5.91E-12,,,,
cg04671742,-0.008814813,6.18E-12,,,,
cg11436113,-0.010723298,6.22E-12,,,,
cg04766061,-0.006418937,6.34E-12,,,,
cg03915012,-0.016429761,6.48E-12,,,,
cg01106572,-0.008312036,6.51E-12,,,,
cg17343374,-0.012030174,6.64E-12,,,,
cg19838043,-0.009508576,6.65E-12,,,,
cg07843568,-0.007427028,6.76E-12,,,,
cg19392831,0.005297596,7.30E-12,,,,
cg01753375,-0.006800924,7.32E-12,,,,
cg01346718,-0.007721901,7.39E-12,,,,
cg20012601,-0.012664783,7.45E-12,,,,
cg19956914,-0.009838074,7.50E-12,,,,
cg12878812,0.009062439,7.73E-12,,,,
cg13578465,-0.012874794,8.03E-12,,,,
cg16419235,0.014569415,8.09E-12,,,,
cg09419102,-0.008143046,8.48E-12,,,,
cg15277914,-0.012584247,8.51E-12,,,,
cg05987787,-0.019706481,8.75E-12,,,,
cg01970325,-0.006893694,8.85E-12,,,,
cg06601581,-0.011063336,8.90E-12,,,,
cg03114057,-0.011994347,8.96E-12,,,,
cg17861230,0.01783,9.14E-12,,,,
cg09585333,-0.006977639,9.75E-12,,,,
cg09547119,0.020184337,1.06E-11,,,,
cg16705273,-0.013612014,1.06E-11,,,,
cg05469614,-0.009786648,1.08E-11,,,,
cg12619504,-0.00756621,1.15E-11,,,,
cg11084334,0.011138196,1.22E-11,,,,
cg22788465,-0.009313378,1.24E-11,,,,
cg21911021,0.01361215,1.27E-11,,,,
cg01355392,-0.016529225,1.31E-11,,,,
cg24099956,-0.009827227,1.33E-11,,,,
cg05586607,-0.017424049,1.39E-11,,,,
cg12052661,0.007270906,1.41E-11,,,,
cg13665684,-0.012120551,1.48E-11,,,,
cg04955333,-0.0105382,1.53E-11,,,,
cg16664617,-0.009511488,1.57E-11,,,,
cg19400520,-0.0067625,1.61E-11,,,,
cg01593969,-0.006079694,1.64E-11,,,,
cg06931612,-0.004495906,1.68E-11,,,,
cg26163284,-0.004591963,1.70E-11,,,,
cg06279471,-0.007126786,1.83E-11,,,,
cg13657200,-0.007834627,1.84E-11,,,,
cg03698343,-0.0048798,1.84E-11,,,,
cg06335143,0.011607172,1.84E-11,,,,
cg15626285,-0.009890887,1.89E-11,,,,
cg00748589,0.0111358,1.91E-11,,,,
cg23843953,-0.007856121,1.96E-11,,,,
cg00463859,-0.008463521,2.01E-11,,,,
cg09232937,0.011006421,2.03E-11,,,,
cg01899620,-0.012115954,2.06E-11,,,,
cg06532574,-0.015710308,2.08E-11,,,,
cg15121420,-0.009350671,2.12E-11,,,,
cg10804656,0.014909667,2.14E-11,,,,
cg07949217,-0.005423445,2.21E-11,,,,
cg04955914,-0.009197328,2.33E-11,,,,
cg06665453,-0.006355869,2.36E-11,,,,
cg10117719,-0.005618126,2.38E-11,,,,
cg06911487,0.009541115,2.38E-11,,,,
cg20752878,-0.009724343,2.40E-11,,,,
cg15341124,0.008013952,2.44E-11,,,,
cg04608933,-0.006577712,2.64E-11,,,,
cg07203024,-0.011619656,2.69E-11,,,,
cg01447828,-0.010103235,2.73E-11,,,,
cg19165390,0.007957338,2.74E-11,,,,
cg19852660,-0.012424974,2.78E-11,,,,
cg25143508,-0.006733475,2.87E-11,,,,
cg11793449,-0.004451179,2.90E-11,,,,
cg06602545,-0.011796483,2.91E-11,,,,
cg03262554,0.014409194,2.92E-11,,,,
cg23320649,-0.006138522,2.93E-11,,,,
cg04956949,-0.007801635,3.14E-11,,,,
cg21052766,-0.008946218,3.27E-11,,,,
cg18933331,-0.007966221,3.28E-11,,,,
cg17401106,-0.006136099,3.37E-11,,,,
cg12873476,-0.009160424,3.41E-11,,,,
cg19759064,-0.008806258,3.46E-11,,,,
cg23753748,-0.010573853,3.63E-11,,,,
cg21186955,-0.015869753,3.71E-11,,,,
cg23435594,-0.007077697,3.93E-11,,,,
cg09063663,-0.005594613,4.01E-11,,,,
cg02699218,0.011582053,4.22E-11,,,,
cg14286292,-0.006942395,4.23E-11,,,,
cg03746976,-0.00962195,4.29E-11,,,,
cg24853724,0.01354926,4.31E-11,,,,
cg18993949,-0.007023701,4.32E-11,,,,
cg03395188,-0.006271214,4.53E-11,,,,
cg18708252,-0.011030569,4.62E-11,,,,
cg27014438,-0.018055779,4.64E-11,,,,
cg18633600,0.009711499,4.67E-11,,,,
cg09636313,-0.011869915,4.87E-11,,,,
cg18363008,-0.005812165,5.06E-11,,,,
cg00590036,0.013890789,5.16E-11,,,,
cg05162523,-0.017079379,5.24E-11,,,,
cg20176648,-0.006207013,5.39E-11,,,,
cg07397616,-0.006704669,5.53E-11,,,,
cg00636737,-0.010573774,5.54E-11,,,,
cg04275362,-0.011171957,5.58E-11,,,,
cg01820374,-0.010380923,5.71E-11,,,,
cg26229990,-0.022527326,6.08E-11,,,,
cg21524899,-0.008958499,6.08E-11,,,,
cg08493959,-0.01410825,6.19E-11,,,,
cg18877361,-0.013603365,6.39E-11,,,,
cg08370546,-0.015679102,6.85E-11,,,,
cg00881300,-0.005011545,7.13E-11,,,,
cg01577760,-0.010229598,7.33E-11,,,,
cg13586457,-0.009495276,7.38E-11,,,,
cg17228560,-0.014162815,7.39E-11,,,,
cg25691775,-0.005912029,7.49E-11,,,,
cg20823695,-0.007382157,7.89E-11,,,,
cg07333191,0.011838223,8.05E-11,,,,
cg15356553,-0.009306506,8.10E-11,,,,
cg02156692,-0.009265754,8.17E-11,,,,
cg23124451,-0.007490875,8.34E-11,,,,
cg08270630,-0.004935962,8.52E-11,,,,
cg09814231,-0.006988429,8.92E-11,,,,
cg04109092,-0.010029553,8.94E-11,,,,
cg20822990,-0.007548171,9.08E-11,,,,
cg26665035,-0.012872731,9.22E-11,,,,
cg07234388,-0.008545551,9.23E-11,,,,
cg23461714,-0.020589514,9.28E-11,,,,
cg23798387,-0.008011272,9.33E-11,,,,
cg24794228,0.02096385,9.65E-11,,,,
cg03224418,-0.01076175,9.90E-11,,,,
cg22282410,0.012587848,9.92E-11,,,,
cg13206063,-0.006679175,9.97E-11,,,,
cg16686396,-0.010895133,1.00E-10,,,,
cg19612068,-0.005246796,1.01E-10,,,,
cg24137511,-0.023683754,1.01E-10,,,,
cg07586285,-0.00712163,1.03E-10,,,,
cg03159676,-0.009875176,1.07E-10,,,,
cg14469684,-0.005436218,1.09E-10,,,,
cg17436656,-0.01100743,1.12E-10,,,,
cg14679780,-0.011122718,1.13E-10,,,,
cg14674720,0.010081321,1.16E-10,,,,
cg14039301,-0.006827926,1.16E-10,,,,
cg13463639,-0.008657657,1.20E-10,,,,
cg07318398,-0.009552898,1.20E-10,,,,
cg00685614,-0.0221054,1.22E-10,,,,
cg18418479,-0.007222453,1.22E-10,,,,
cg19216211,-0.007429691,1.24E-10,,,,
cg04622454,-0.005644142,1.24E-10,,,,
cg06155229,-0.016302524,1.26E-10,,,,
cg18902090,0.011836336,1.32E-10,,,,
cg08248751,-0.006029156,1.40E-10,,,,
cg01094301,-0.004053554,1.40E-10,,,,
cg18969008,-0.011807911,1.43E-10,,,,
cg16646298,-0.012895366,1.45E-10,,,,
cg20119148,0.010719598,1.47E-10,,,,
cg09692396,-0.010921482,1.49E-10,,,,
cg04959790,-0.007281688,1.55E-10,,,,
cg03020208,0.006728989,1.55E-10,,,,
cg18897026,-0.011230229,1.56E-10,,,,
cg01502244,-0.01116313,1.56E-10,,,,
cg21370074,-0.006486438,1.59E-10,,,,
cg17592231,0.006085764,1.61E-10,,,,
cg03117611,-0.006235053,1.72E-10,,,,
cg19056004,-0.012373853,1.73E-10,,,,
cg20153322,-0.004999328,1.81E-10,,,,
cg23112821,-0.016448661,1.82E-10,,,,
cg13392029,-0.006825896,1.82E-10,,,,
cg06829788,-0.014057436,1.83E-10,,,,
cg26031678,-0.009218092,1.85E-10,,,,
cg24517323,-0.011333978,1.87E-10,,,,
cg20649847,-0.029666388,1.88E-10,,,,
cg00782645,-0.01081383,1.88E-10,,,,
cg13020518,-0.007247981,1.91E-10,,,,
cg23078123,-0.009494422,1.94E-10,,,,
cg23080427,-0.006268109,2.05E-10,,,,
cg12711760,-0.011207705,2.07E-10,,,,
cg09139956,-0.00987887,2.08E-10,,,,
cg12261786,-0.010990813,2.08E-10,,,,
cg01644611,-0.01498857,2.09E-10,,,,
cg24466377,-0.009367092,2.19E-10,,,,
cg22483030,-0.01851456,2.20E-10,,,,
cg23331484,0.011090231,2.21E-10,,,,
cg26725076,-0.010676697,2.24E-10,,,,
cg08128734,-0.015986515,2.25E-10,,,,
cg23654112,-0.004998855,2.27E-10,,,,
cg13425938,-0.008337049,2.27E-10,,,,
cg09655666,0.016532523,2.30E-10,,,,
cg17885226,0.018709753,2.33E-10,,,,
cg26748477,-0.010001786,2.34E-10,,,,
cg00048759,0.007152475,2.41E-10,,,,
cg02538891,-0.005631685,2.43E-10,,,,
cg22891070,-0.018292209,2.45E-10,,,,
cg12483947,-0.014704887,2.49E-10,,,,
cg07544187,0.046871921,2.49E-10,,,,
cg11866756,-0.009058378,2.50E-10,,,,
cg02932314,0.012253297,2.54E-10,,,,
cg09289148,-0.008142827,2.60E-10,,,,
cg25424279,-0.007965158,2.64E-10,,,,
cg00015319,0.005900173,2.65E-10,,,,
cg02471940,-0.003841281,2.67E-10,,,,
cg22087053,0.007786875,2.67E-10,,,,
cg10788371,-0.007568852,2.68E-10,,,,
cg19758448,-0.01524283,2.72E-10,,,,
cg21406967,-0.007570286,2.84E-10,,,,
cg00116092,0.015838392,2.89E-10,,,,
cg01022345,-0.007364281,3.01E-10,,,,
cg05725703,-0.009192555,3.06E-10,,,,
cg08179817,-0.009450137,3.14E-10,,,,
cg10320659,0.014193116,3.15E-10,,,,
cg13390332,-0.01177685,3.21E-10,,,,
cg26153045,-0.009719563,3.25E-10,,,,
cg19729744,-0.012212511,3.31E-10,,,,
cg21280392,-0.008504299,3.33E-10,,,,
cg21052788,-0.006452069,3.38E-10,,,,
cg00003345,-0.00625746,3.40E-10,,,,
cg19442545,-0.019418455,3.47E-10,,,,
cg24350475,-0.009200946,3.47E-10,,,,
cg00549412,-0.008831419,3.49E-10,,,,
cg06707978,0.009239441,3.50E-10,,,,
cg05083128,-0.011189894,3.51E-10,,,,
cg15657588,-0.005639724,3.55E-10,,,,
cg23715749,-0.013404028,3.61E-10,,,,
cg17094065,-0.01078867,3.61E-10,,,,
cg26084700,-0.008273563,3.65E-10,,,,
cg17603988,-0.011166957,3.66E-10,,,,
cg05213896,0.020777178,3.68E-10,,,,
cg06745001,-0.007559948,3.87E-10,,,,
cg17783401,0.015234506,3.88E-10,,,,
cg00563932,-0.007136798,3.90E-10,,,,
cg10713715,-0.005194572,4.00E-10,,,,
cg14398464,-0.006037505,4.24E-10,,,,
cg26392102,-0.005909084,4.25E-10,,,,
cg20045320,-0.009034627,4.34E-10,,,,
cg22112841,-0.009458372,4.51E-10,,,,
cg01102854,-0.006762127,4.60E-10,,,,
cg08190844,-0.012755477,4.66E-10,,,,
cg06326493,-0.006981095,4.74E-10,,,,
cg05724065,-0.009378037,4.75E-10,,,,
cg13470735,-0.005668269,4.76E-10,,,,
cg03508063,-0.006800554,4.93E-10,,,,
cg17792740,-0.008420581,4.99E-10,,,,
cg05242244,-0.007104068,5.12E-10,,,,
cg02623114,-0.005701808,5.25E-10,,,,
cg23762517,-0.018358992,5.48E-10,,,,
cg06899799,-0.006805626,5.49E-10,,,,
cg13640414,-0.014685287,5.54E-10,,,,
cg10437577,-0.006401522,5.58E-10,,,,
cg02898293,0.009042383,5.60E-10,,,,
cg04473078,0.012562944,5.62E-10,,,,
cg08189186,-0.01114676,5.75E-10,,,,
cg07774964,-0.0127535,5.85E-10,,,,
cg01101873,-0.008886637,5.86E-10,,,,
cg04976151,-0.011808269,5.86E-10,,,,
cg26373518,-0.00763847,5.87E-10,,,,
cg14999189,-0.006211338,5.99E-10,,,,
cg16509239,-0.007190568,5.99E-10,,,,
cg10137837,0.010287767,6.19E-10,,,,
cg06706159,-0.02401134,6.20E-10,,,,
cg08343644,-0.017611182,6.28E-10,,,,
cg21296320,-0.011953403,6.37E-10,,,,
cg23893898,0.011501309,6.40E-10,,,,
cg07336350,0.015969924,6.47E-10,,,,
cg03728674,-0.008495371,6.66E-10,,,,
cg17468563,-0.005009795,6.77E-10,,,,
cg18034299,-0.00919849,6.79E-10,,,,
cg07052627,-0.004891453,6.93E-10,,,,
cg03045635,0.016381888,6.95E-10,,,,
cg26847866,-0.006686158,7.00E-10,,,,
cg11142333,-0.009775674,7.14E-10,,,,
cg10372188,-0.009733076,7.14E-10,,,,
cg01449663,0.006989888,7.15E-10,,,,
cg04474832,-0.008077547,7.16E-10,,,,
cg08090640,-0.012997399,7.35E-10,,,,
cg13452386,-0.006662512,7.40E-10,,,,
cg10512203,-0.007535103,7.42E-10,,,,
cg20234060,-0.007130218,7.76E-10,,,,
cg20591472,0.017645149,7.86E-10,,,,
cg02650266,0.013228609,7.94E-10,,,,
cg15451548,-0.00869249,8.13E-10,,,,
cg03742763,-0.007127042,8.36E-10,,,,
cg09857324,-0.013071981,8.52E-10,,,,
cg11826475,-0.006829071,8.55E-10,,,,
cg02423574,-0.014688005,8.68E-10,,,,
cg03216698,-0.006853011,8.69E-10,,,,
cg05336395,0.013794217,8.81E-10,,,,
cg19671120,0.006477142,8.85E-10,,,,
cg15108699,-0.012936683,8.86E-10,,,,
cg20998539,-0.006795103,8.91E-10,,,,
cg02294302,-0.007146179,8.98E-10,,,,
cg17326555,0.011458565,9.03E-10,,,,
cg00947744,-0.00627281,9.17E-10,,,,
cg21217270,-0.007518501,9.45E-10,,,,
cg16437896,-0.007303989,9.47E-10,,,,
cg07080372,-0.015488564,9.66E-10,,,,
cg19560758,0.008935249,9.78E-10,,,,
cg21725716,0.010917813,9.78E-10,,,,
cg07215693,0.02085958,9.84E-10,,,,
cg06029905,-0.008521836,9.84E-10,,,,
cg19724470,-0.016205306,9.85E-10,,,,
cg00553487,-0.008525789,1.02E-09,,,,
cg03601886,-0.012022556,1.02E-09,,,,
cg18133072,-0.005303293,1.03E-09,,,,
cg03438552,-0.009275123,1.04E-09,,,,
cg06784991,0.009775355,1.04E-09,,,,
cg27438128,-0.00707994,1.05E-09,,,,
cg17024199,-0.008033212,1.05E-09,,,,
cg07676709,-0.00894504,1.05E-09,,,,
cg24803614,-0.014226795,1.07E-09,,,,
cg15302379,-0.010733528,1.08E-09,,,,
cg01503065,0.010770233,1.08E-09,,,,
cg14556683,0.013028921,1.08E-09,,,,
cg07812819,0.010169484,1.09E-09,,,,
cg14438325,-0.009028871,1.09E-09,,,,
cg18119735,0.010104128,1.11E-09,,,,
cg22273555,-0.007069317,1.12E-09,,,,
cg23934731,0.016740448,1.14E-09,,,,
cg07464358,0.004267721,1.15E-09,,,,
cg19098932,-0.00920226,1.15E-09,,,,
cg26249245,-0.005355005,1.16E-09,,,,
cg13278478,-0.012750497,1.17E-09,,,,
cg20974826,-0.006713295,1.19E-09,,,,
cg21473814,-0.010580232,1.23E-09,,,,
cg14284824,-0.008966779,1.24E-09,,,,
cg10424974,-0.0102583,1.24E-09,,,,
cg04999352,-0.019985852,1.25E-09,,,,
cg12513880,0.015260401,1.25E-09,,,,
cg09582200,-0.007654828,1.28E-09,,,,
cg16061228,-0.011440762,1.29E-09,,,,
cg05797770,-0.014335415,1.31E-09,,,,
cg15038286,-0.018805456,1.32E-09,,,,
cg03337035,-0.007650895,1.34E-09,,,,
cg12765028,0.007599911,1.35E-09,,,,
cg15083851,-0.010029858,1.37E-09,,,,
cg06543221,-0.009688287,1.40E-09,,,,
cg04215179,-0.010992418,1.43E-09,,,,
cg24057710,-0.007297026,1.43E-09,,,,
cg19821713,0.007503058,1.45E-09,,,,
cg08622677,0.0085651,1.54E-09,,,,
cg14609289,-0.005459663,1.55E-09,,,,
cg13504434,-0.013901853,1.56E-09,,,,
cg12492496,-0.010217909,1.57E-09,,,,
cg01844642,0.00631459,1.57E-09,,,,
cg25974380,-0.012000339,1.59E-09,,,,
cg04573078,-0.016383367,1.59E-09,,,,
cg08262002,-0.011225353,1.60E-09,,,,
cg18715243,-0.008935158,1.66E-09,,,,
cg07181952,-0.007859949,1.67E-09,,,,
cg04431254,-0.004967149,1.67E-09,,,,
cg25029657,-0.012123037,1.68E-09,,,,
cg15084543,0.019864651,1.70E-09,,,,
cg01474257,0.008331655,1.71E-09,,,,
cg21886186,-0.008069729,1.72E-09,,,,
cg06440373,-0.006227266,1.73E-09,,,,
cg13327545,0.008851113,1.73E-09,,,,
cg18961681,0.025457028,1.73E-09,,,,
cg19809499,0.013965621,1.74E-09,,,,
cg03132729,-0.00562865,1.74E-09,,,,
cg22809047,0.011010253,1.76E-09,,,,
cg01713950,-0.012672578,1.77E-09,,,,
cg27425327,-0.009072021,1.77E-09,,,,
cg14646983,-0.005589248,1.77E-09,,,,
cg13725599,-0.01684749,1.78E-09,,,,
cg06102242,-0.010545521,1.79E-09,,,,
cg22323966,-0.015721124,1.79E-09,,,,
cg13210467,0.008961714,1.80E-09,,,,
cg04347161,-0.006842416,1.81E-09,,,,
cg07091481,-0.009835216,1.82E-09,,,,
cg15297650,-0.007630843,1.83E-09,,,,
cg08471335,-0.010034887,1.83E-09,,,,
cg14585371,0.008277165,1.85E-09,,,,
cg23010048,0.013972995,1.86E-09,,,,
cg00921350,-0.006863541,1.87E-09,,,,
cg25017584,-0.010660498,1.90E-09,,,,
cg26734350,-0.009192514,1.94E-09,,,,
cg23230929,-0.006668787,1.95E-09,,,,
cg24632873,-0.00862024,1.96E-09,,,,
cg11535839,-0.007968423,1.99E-09,,,,
cg08257009,-0.007952141,1.99E-09,,,,
cg00277397,-0.009705813,1.99E-09,,,,
cg00218406,-0.011822265,2.02E-09,,,,
cg19421125,-0.023027656,2.07E-09,,,,
cg20692569,0.007621432,2.09E-09,,,,
cg14543780,-0.009320181,2.09E-09,,,,
cg02318971,0.007830719,2.10E-09,,,,
cg02713951,-0.004852737,2.10E-09,,,,
cg04890576,-0.014650019,2.12E-09,,,,
cg02258201,-0.00983221,2.14E-09,,,,
cg05289022,-0.007029312,2.15E-09,,,,
cg16717122,0.009243639,2.19E-09,,,,
cg16725944,-0.006766158,2.19E-09,,,,
cg13051968,0.006142044,2.19E-09,,,,
cg13481132,0.026473484,2.20E-09,,,,
cg02412616,-0.009864513,2.20E-09,,,,
cg15138614,-0.009429831,2.23E-09,,,,
cg10217713,-0.006323779,2.25E-09,,,,
cg04436528,-0.006310637,2.27E-09,,,,
cg13899108,0.008512334,2.27E-09,,,,
cg10045354,-0.007383733,2.30E-09,,,,
cg13053992,-0.006096404,2.30E-09,,,,
cg01103597,-0.006807331,2.36E-09,,,,
cg26935102,-0.008454873,2.43E-09,,,,
cg06874016,-0.010417683,2.46E-09,,,,
cg21995800,-0.010217402,2.51E-09,,,,
cg20133890,-0.014274798,2.52E-09,,,,
cg03725309,-0.018874662,2.52E-09,,,,
cg25994988,-0.008455395,2.53E-09,,,,
cg05205351,-0.009980349,2.53E-09,,,,
cg05405914,-0.010996081,2.53E-09,,,,
cg10959999,-0.007233558,2.57E-09,,,,
cg08248579,-0.017372512,2.57E-09,,,,
cg00622010,-0.007450302,2.59E-09,,,,
cg26350754,-0.016463943,2.59E-09,,,,
cg05666820,0.020798339,2.60E-09,,,,
cg14553881,-0.013510028,2.61E-09,,,,
cg23913963,-0.012738948,2.63E-09,,,,
cg08426733,-0.005533678,2.65E-09,,,,
cg12105190,-0.005463097,2.67E-09,,,,
cg25801622,-0.010617802,2.69E-09,,,,
cg14532755,-0.01181435,2.70E-09,,,,
cg08686462,-0.008977374,2.71E-09,,,,
cg26969888,-0.007604717,2.72E-09,,,,
