cpg,beta,p
cg09452568,-0.177062579,2.05452E-07
cg20116574,-0.475068949,2.05608E-07
cg04184427,0.119472507,2.06842E-07
cg02435083,-0.347849669,0.000000207
cg02609742,-0.293302727,2.07282E-07
cg13382596,-0.214978613,2.07385E-07
cg09106556,0.174791748,2.07677E-07
cg13401831,-0.22901005,2.08517E-07
cg12419135,-0.262614202,2.08914E-07
cg01960300,0.155529899,2.09308E-07
cg23758016,-0.331213385,2.0972E-07
cg24330485,0.170921972,2.09726E-07
cg05859308,0.143513367,2.10764E-07
cg00265238,-0.216567344,0.000000211
cg01815912,0.133751385,2.11481E-07
cg08621418,0.18217666,2.11846E-07
cg10041390,-0.873024977,2.12832E-07
cg03555579,-0.192224743,2.14246E-07
cg16041611,-0.633872036,0.000000215
cg08109625,0.185211563,0.000000216
cg02072992,-0.343560934,2.16306E-07
cg18036081,-0.294567613,2.1631E-07
cg17473382,-0.446357756,2.1678E-07
cg06061645,0.165327377,2.18468E-07
cg21364828,-0.166722616,2.18802E-07
cg25707924,0.221214399,0.000000221
cg14841098,-0.248275428,2.21775E-07
cg02966574,-0.268601832,0.000000222
cg16308101,0.094240665,0.000000223
cg17291166,-0.174609034,2.23164E-07
cg25611931,-0.349260329,2.23702E-07
cg04863850,0.140836603,2.24086E-07
cg00972296,0.16871383,2.27563E-07
cg07987587,-1.017471512,2.28524E-07
cg21640526,0.27410895,2.30158E-07
cg17289764,-0.204860282,2.30318E-07
cg20943338,-0.396239258,2.31201E-07
cg03762242,-0.328456975,2.31416E-07
cg21183329,0.413045404,2.31478E-07
cg23977063,0.195658831,2.31493E-07
cg03052030,-0.254331454,2.31593E-07
cg04278597,-0.86373205,2.32356E-07
cg19355462,0.260802701,2.33744E-07
cg20705065,0.183540214,0.000000234
cg10668512,-0.274804484,2.34282E-07
cg18012383,-0.721426774,2.356E-07
cg13915212,-0.673581715,2.35844E-07
cg09843573,-0.518914082,2.36255E-07
cg19649018,0.137173402,2.3639E-07
cg10856813,0.164301076,0.000000237
cg24982682,-0.239200369,2.38066E-07
cg09089230,-0.353983258,2.38216E-07
cg25140419,0.22011946,2.38268E-07
cg16924702,0.22572945,2.38353E-07
cg04457626,0.210167772,2.38589E-07
cg01845178,0.231515917,2.39379E-07
cg11299854,-0.68256037,2.39853E-07
cg07079421,-0.435478108,2.40375E-07
cg15681853,-0.342443187,2.41143E-07
cg02390103,-0.146399169,0.000000243
cg25286333,-0.298807493,2.44434E-07
cg13021841,-0.258320626,2.44784E-07
cg20499457,-0.214535069,2.44883E-07
cg16706496,-0.331342542,2.45406E-07
cg01721538,0.229114724,2.46608E-07
cg16342949,-0.18894122,2.48069E-07
cg26522244,-0.350270659,2.48334E-07
cg27241845,-0.235789766,2.51153E-07
cg13446288,0.173041945,2.51365E-07
cg14009013,0.117815071,2.51659E-07
cg10987503,0.158423575,0.000000252
cg13265437,-0.227050659,2.52281E-07
cg00966077,-0.309588225,2.52341E-07
cg09771049,-0.601117492,2.52535E-07
cg18714585,-0.361374749,2.53315E-07
cg10833826,0.372158994,2.54056E-07
cg12729838,-0.277118413,2.54269E-07
cg04929759,-0.458181404,2.54322E-07
cg05331082,0.207532286,2.546E-07
cg11187916,-0.437129912,2.55361E-07
cg14753356,-0.483026102,2.55785E-07
cg18502617,0.172632336,2.55897E-07
cg07714085,0.12239801,2.57226E-07
cg19455953,0.18673847,2.58347E-07
cg06566239,0.153226479,2.59252E-07
cg11162385,-0.541963476,2.59754E-07
cg14913210,-0.204644299,2.6113E-07
cg10157936,0.124572183,2.62528E-07
cg14174055,0.200181403,2.63703E-07
cg00311921,-0.171764298,2.64347E-07
cg17585279,0.253590816,2.65602E-07
cg02737759,0.15525011,2.65853E-07
cg00084202,0.146078819,2.65899E-07
cg23036852,-0.321915452,0.000000266
cg06811166,0.159324593,2.66266E-07
cg18167978,-0.59473067,2.66795E-07
cg15823180,0.226543752,2.67856E-07
cg00911981,-0.315965956,2.68839E-07
cg24794206,-0.288135781,2.68841E-07
cg14206730,-0.179070974,2.69226E-07
cg02187822,-0.353489469,2.71348E-07
cg18635110,0.225342544,2.71571E-07
cg06302118,-0.397093623,2.73669E-07
cg14135025,-0.352044033,2.73869E-07
ch.20.1436892F,-0.249250963,2.75125E-07
cg04902811,-0.177220134,2.75545E-07
cg17103705,-0.400243082,0.000000276
cg06669056,0.157720324,2.76451E-07
cg07156182,0.188559523,2.77429E-07
cg08300899,-0.42651574,2.79762E-07
cg11669877,0.192533283,2.80338E-07
cg27461196,-0.419317553,2.81459E-07
cg03619840,0.090493724,2.81828E-07
cg16651347,-0.346592691,0.000000282
cg19920899,0.197580445,2.82058E-07
cg17380870,-0.352072752,2.82266E-07
cg01332181,-0.67305966,2.84156E-07
cg13553147,-0.247883222,2.84481E-07
cg02921269,-0.639769016,2.86756E-07
cg04396125,0.230354004,2.87087E-07
cg13490966,-0.384013646,2.87102E-07
cg23383189,-0.301079787,2.87498E-07
cg00568044,0.199880742,2.87809E-07
cg09065880,0.223647944,2.88161E-07
cg23335414,0.20156885,2.88274E-07
cg05701791,-0.210357539,2.88489E-07
cg07363676,0.190385819,2.90283E-07
cg16839093,0.181739864,2.913E-07
cg02303317,-0.765996542,2.91435E-07
cg03945538,-0.217699818,2.91764E-07
cg25731807,-0.232711968,2.95056E-07
cg05299342,-0.383481206,2.95477E-07
cg18018640,-0.567781739,2.96231E-07
cg08863777,-0.618422081,2.96448E-07
cg14361033,-0.298458463,2.9645E-07
cg03431524,0.175440031,2.96853E-07
cg00268019,0.322175113,0.000000298
cg04603130,-0.319547343,2.98883E-07
cg18496317,-0.57275675,2.99239E-07
cg16584172,0.182359532,3.00114E-07
cg23321714,0.225835334,3.01508E-07
cg08460732,-0.262572133,3.02483E-07
cg13482142,-0.145182464,3.0256E-07
cg15296856,-0.279902092,3.03365E-07
cg19289072,0.155265328,3.04172E-07
cg17128349,-0.440198936,3.05183E-07
cg16447486,0.160158854,3.05306E-07
cg11014794,-0.470316141,3.06326E-07
cg08558323,-0.229093813,3.07203E-07
cg02625641,-0.527956349,3.08173E-07
cg10260072,0.319579378,3.08209E-07
cg26170245,-0.449517609,3.08332E-07
cg21578541,-0.235646882,3.09797E-07
cg00945238,0.193635331,0.00000031
cg00920892,0.19903837,3.10084E-07
cg12553292,0.150212399,3.12411E-07
cg11358405,-0.446136285,0.000000313
cg22512377,-0.872047995,3.1363E-07
cg09930046,-0.36369287,0.000000316
cg27121758,0.181013281,3.16523E-07
cg05865670,-0.330330129,3.17096E-07
cg23023937,0.1822856,3.17915E-07
cg17564775,-0.383212665,3.18535E-07
cg00359325,-0.206675501,3.18698E-07
cg15367106,-0.334426845,3.18914E-07
cg19078520,0.212372684,0.000000319
cg03043296,0.355743428,3.19347E-07
cg10169241,-0.676121105,3.22234E-07
cg03549695,-0.210018408,3.22237E-07
cg05392364,-0.367763374,0.000000323
cg14855292,0.21606101,3.2307E-07
cg26260369,-0.962115376,3.2337E-07
cg25355924,0.198227066,3.23618E-07
cg02743674,0.145654184,0.000000324
cg08154963,-0.274810066,3.25199E-07
cg25869317,-0.489534318,3.27499E-07
cg27597069,-0.497524428,3.27737E-07
cg03553604,0.175112158,3.28221E-07
cg03597976,-0.625466111,0.000000329
cg08493063,-0.313644228,3.29407E-07
cg26841425,-0.390963703,3.29892E-07
cg11310668,0.169518994,0.00000033
cg03568673,-0.399209794,3.30534E-07
cg22160784,-0.415900076,3.30729E-07
cg07777703,-0.162936258,3.33376E-07
cg16751764,-0.5276545,3.33535E-07
cg25252777,-0.167727867,3.34544E-07
cg18368487,0.269074556,3.34547E-07
cg12441052,-0.867179212,3.35251E-07
cg26351468,0.170133597,0.000000336
cg16732654,-0.380152916,3.36247E-07
cg10648908,-0.321188915,3.37692E-07
cg18591228,-0.238367721,3.378E-07
cg26017880,0.248396586,3.38283E-07
cg20789464,-0.436794028,3.39606E-07
cg00466301,0.245294794,3.39671E-07
cg18725425,-0.205006316,3.39897E-07
cg10228555,-0.143956901,0.00000034
